"자치구별(1)",자치구별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014
"자치구별(1)",자치구별(2),초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교
"자치구별(1)",자치구별(2),학생수 (명),학업중단자수 (명),학업중단율 (%),학생수 (명),학업중단자수 (명),학업중단율 (%),학생수 (명),학업중단자수 (명),학업중단율 (%)
"합계",소계,457517,4696,1.03,286826,2981,1.04,320398,4707,1.47
"합계",종로구,6233,72,1.16,4400,69,1.57,13069,179,1.37
"합계",중구,5854,123,2.10,2960,35,1.18,9177,97,1.06
"합계",용산구,8529,182,2.13,5310,93,1.75,7737,100,1.29
"합계",성동구,13174,137,1.04,7186,66,0.92,6791,118,1.74
"합계",광진구,16086,155,0.96,10378,104,1.00,11550,168,1.45
"합계",동대문구,15110,111,0.73,9556,77,0.81,9708,185,1.91
"합계",중랑구,16801,62,0.37,10220,54,0.53,9658,137,1.42
"합계",성북구,23948,214,0.89,12806,119,0.93,11855,267,2.25
"합계",강북구,12402,66,0.53,8952,69,0.77,7199,113,1.57
"합계",도봉구,18014,74,0.41,10392,60,0.58,9437,110,1.17
"합계",노원구,31890,186,0.58,22835,149,0.65,29911,314,1.05
"합계",은평구,24688,163,0.66,14567,85,0.58,16934,223,1.32
"합계",서대문구,13645,136,1.00,8566,65,0.76,6741,123,1.82
"합계",마포구,17050,165,0.97,9554,93,0.97,7119,104,1.46
"합계",양천구,25446,261,1.03,21709,236,1.09,17404,176,1.01
"합계",강서구,27387,150,0.55,13536,109,0.81,21782,356,1.63
"합계",구로구,19562,122,0.62,10779,55,0.51,12059,154,1.28
"합계",금천구,9912,33,0.33,6147,36,0.59,6252,83,1.33
"합계",영등포구,15499,169,1.09,8518,81,0.95,8822,114,1.29
"합계",동작구,17916,196,1.09,10275,97,0.94,8147,107,1.31
"합계",관악구,18364,122,0.66,10684,79,0.74,13148,249,1.89
"합계",서초구,22144,586,2.65,13557,324,2.39,13893,260,1.87
"합계",강남구,22665,591,2.61,18038,420,2.33,24949,440,1.76
"합계",송파구,33028,488,1.48,22299,282,1.26,22114,313,1.42
"합계",강동구,22170,132,0.60,13602,124,0.91,14942,217,1.45
