"자치구별(1)",자치구별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016
"자치구별(1)",자치구별(2),초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교
"자치구별(1)",자치구별(2),학생수 (명),학업중단자수 (명),학업중단율 (%),학생수 (명),학업중단자수 (명),학업중단율 (%),학생수 (명),학업중단자수 (명),학업중단율 (%)
"합계",소계,436121,4412,1.01,239912,2228,0.93,299556,4310,1.44
"합계",종로구,5686,73,1.28,3453,30,0.87,12131,175,1.44
"합계",중구,5474,123,2.25,2281,16,0.70,8163,88,1.08
"합계",용산구,7923,146,1.84,4270,76,1.78,7475,94,1.26
"합계",성동구,12352,160,1.30,5709,36,0.63,6256,59,0.94
"합계",광진구,15327,175,1.14,8440,72,0.85,10388,146,1.41
"합계",동대문구,14212,101,0.71,7792,37,0.47,9531,161,1.69
"합계",중랑구,15779,72,0.46,8197,48,0.59,8602,129,1.50
"합계",성북구,22467,186,0.83,10873,87,0.80,11639,190,1.63
"합계",강북구,11225,49,0.44,7484,49,0.65,6642,89,1.34
"합계",도봉구,16760,63,0.38,8386,35,0.42,8462,114,1.35
"합계",노원구,29482,169,0.57,18932,120,0.63,27893,354,1.27
"합계",은평구,23037,120,0.52,12263,71,0.58,15992,210,1.31
"합계",서대문구,13331,144,1.08,7298,38,0.52,6458,134,2.07
"합계",마포구,16361,163,1.00,8376,84,1.00,6993,95,1.36
"합계",양천구,24825,270,1.09,18073,191,1.06,16683,244,1.46
"합계",강서구,27048,197,0.73,12200,84,0.69,19864,341,1.72
"합계",구로구,19143,125,0.65,9058,57,0.63,11542,139,1.20
"합계",금천구,9189,35,0.38,4951,28,0.57,5591,65,1.16
"합계",영등포구,14449,184,1.27,6997,76,1.09,8020,98,1.22
"합계",동작구,16887,135,0.80,8826,57,0.65,7625,77,1.01
"합계",관악구,16883,115,0.68,8838,62,0.70,11842,203,1.71
"합계",서초구,22595,537,2.38,12004,250,2.08,13278,254,1.91
"합계",강남구,24190,529,2.19,15947,354,2.22,24275,412,1.70
"합계",송파구,31048,422,1.36,18155,207,1.14,20274,265,1.31
"합계",강동구,20448,119,0.58,11109,63,0.57,13937,174,1.25
