"자치구별(1)",자치구별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017
"자치구별(1)",자치구별(2),초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교
"자치구별(1)",자치구별(2),학생수 (명),학업중단자수 (명),학업중단율 (%),학생수 (명),학업중단자수 (명),학업중단율 (%),학생수 (명),학업중단자수 (명),학업중단율 (%)
"합계",소계,428333,4686,1.09,227001,2329,1.03,282968,4531,1.60
"합계",종로구,5561,83,1.49,3168,32,1.01,11029,208,1.89
"합계",중구,5283,131,2.48,2107,13,0.62,7866,112,1.42
"합계",용산구,7624,160,2.10,3973,72,1.81,7183,105,1.46
"합계",성동구,12047,133,1.10,5474,33,0.60,6336,111,1.75
"합계",광진구,15029,163,1.08,7947,77,0.97,9441,140,1.48
"합계",동대문구,13930,112,0.80,7265,74,1.02,9095,152,1.67
"합계",중랑구,15419,60,0.39,7691,57,0.74,8009,128,1.60
"합계",성북구,21897,184,0.84,10368,76,0.73,10411,179,1.72
"합계",강북구,10878,72,0.66,6945,55,0.79,6399,113,1.77
"합계",도봉구,16242,93,0.57,7726,49,0.63,8181,123,1.50
"합계",노원구,28364,197,0.69,17781,127,0.71,26024,381,1.46
"합계",은평구,22409,149,0.66,11538,74,0.64,15244,233,1.53
"합계",서대문구,13193,164,1.24,6811,59,0.87,6250,106,1.70
"합계",마포구,15850,184,1.16,7959,85,1.07,6908,96,1.39
"합계",양천구,24526,248,1.01,17123,189,1.10,16092,259,1.61
"합계",강서구,26594,151,0.57,11713,82,0.70,18907,350,1.85
"합계",구로구,18965,114,0.60,8462,55,0.65,11135,146,1.31
"합계",금천구,9030,33,0.37,4638,21,0.45,5102,75,1.47
"합계",영등포구,13905,156,1.12,6526,54,0.83,7371,95,1.29
"합계",동작구,16698,173,1.04,8477,69,0.81,7187,94,1.31
"합계",관악구,16227,119,0.73,8143,65,0.80,11162,204,1.83
"합계",서초구,22939,603,2.63,11822,278,2.35,12497,276,2.21
"합계",강남구,24371,554,2.27,15574,352,2.26,23019,413,1.79
"합계",송파구,31191,494,1.58,17328,206,1.19,19018,256,1.35
"합계",강동구,20161,156,0.77,10442,75,0.72,13102,176,1.34
